_key,name,version,one_qubit/0/T1,one_qubit/0/T2,one_qubit/0/fRB,one_qubit/0/fRO,one_qubit/0/qubit,one_qubit/1/T1,one_qubit/1/T2,one_qubit/1/fRB,one_qubit/1/fRO,one_qubit/1/qubit,one_qubit/2/T1,one_qubit/2/T2,one_qubit/2/fRB,one_qubit/2/fRO,one_qubit/2/qubit,one_qubit/3/T1,one_qubit/3/T2,one_qubit/3/fRB,one_qubit/3/fRO,one_qubit/3/qubit,one_qubit/4/T1,one_qubit/4/T2,one_qubit/4/fRB,one_qubit/4/fRO,one_qubit/4/qubit,one_qubit/5/T1,one_qubit/5/T2,one_qubit/5/fRB,one_qubit/5/fRO,one_qubit/5/qubit,one_qubit/6/T1,one_qubit/6/T2,one_qubit/6/fRB,one_qubit/6/fRO,one_qubit/6/qubit,one_qubit/7/T1,one_qubit/7/T2,one_qubit/7/fRB,one_qubit/7/fRO,one_qubit/7/qubit,two_qubit/0-1/coupling/control_qubit,two_qubit/0-1/coupling/target_qubit,two_qubit/0-1/fCX,two_qubit/0-7/coupling/control_qubit,two_qubit/0-7/coupling/target_qubit,two_qubit/0-7/fCX,two_qubit/1-2/coupling/control_qubit,two_qubit/1-2/coupling/target_qubit,two_qubit/1-2/fCX,two_qubit/2-3/coupling/control_qubit,two_qubit/2-3/coupling/target_qubit,two_qubit/2-3/fCX,two_qubit/4-3/coupling/control_qubit,two_qubit/4-3/coupling/target_qubit,two_qubit/4-3/fCX,two_qubit/4-5/coupling/control_qubit,two_qubit/4-5/coupling/target_qubit,two_qubit/4-5/fCX,two_qubit/6-5/coupling/control_qubit,two_qubit/6-5/coupling/target_qubit,two_qubit/6-5/fCX,two_qubit/7-6/coupling/control_qubit,two_qubit/7-6/coupling/target_qubit,two_qubit/7-6/fCX
braketSchemaHeader,braket.device_schema.oqc.oqc_provider_properties,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
properties,,,21.4,25.1,99.94,91.9,0,35.5,74.3,99.75,86.2,1,51.5,52.5,99.93,87.6,2,28.2,56.9,99.86,90.5,3,48.7,52.4,99.999972,87.8,4,25.9,42.9,99.89,93.3,5,16.6,25.3,99.93,95.3,6,46.1,64.9,99.85,89,7,0,1,87.8,0,7,92.2,1,2,92.3,2,3,93.8,4,3,94.3,4,5,97.1,6,5,96,7,6,93.6
