Classifier, Accuracy, Top3, Worst Rank, Eval. Score Diff., Std
Random Forest, 0.7692715756136183, 0.9556048834628191, 23, -0.0021, 0.0138
Gradient Boosting, 0.7611706820495419, 0.9456159822419534, 23, -0.0022, 0.0138
Decision Tree, 0.7335889605248276, 0.9245283018867925, 12, -0.0038, 0.0202
Nearest Neighbor, 0.7050605135165705, 0.9400665926748057, 23, -0.0036, 0.0219
Multilayer Perceptron, 0.6565173622893338, 0.8745837957824639, 23, -0.0063, 0.0292
Support Vector Machine, 0.620848320325755, 0.7569367369589345, 21, -0.0083, 0.0365
Naive Bayes, 0.3320585906571655, 0.5482796892341842, 19, -0.0184, 0.0506
