file_path,benchmark_name,num_qubits,MQTPredictor_fidelity_time,MQTPredictor_fidelity_fidelity,MQTPredictor_fidelity_critical_depth,MQTPredictor_critical_depth_time,MQTPredictor_critical_depth_fidelity,MQTPredictor_critical_depth_critical_depth,qiskit_ibm_washington_time,qiskit_ibm_washington_fidelity,qiskit_ibm_washington_critical_depth,qiskit_ibm_montreal_time,qiskit_ibm_montreal_fidelity,qiskit_ibm_montreal_critical_depth,qiskit_oqc_lucy_time,qiskit_oqc_lucy_fidelity,qiskit_oqc_lucy_critical_depth,qiskit_rigetti_aspen_m2_time,qiskit_rigetti_aspen_m2_fidelity,qiskit_rigetti_aspen_m2_critical_depth,qiskit_ionq_harmony_time,qiskit_ionq_harmony_fidelity,qiskit_ionq_harmony_critical_depth,qiskit_ionq_aria1_time,qiskit_ionq_aria1_fidelity,qiskit_ionq_aria1_critical_depth,qiskit_quantinuum_h2_time,qiskit_quantinuum_h2_fidelity,qiskit_quantinuum_h2_critical_depth,tket_ibm_washington_time,tket_ibm_washington_fidelity,tket_ibm_washington_critical_depth,tket_ibm_montreal_time,tket_ibm_montreal_fidelity,tket_ibm_montreal_critical_depth,tket_oqc_lucy_time,tket_oqc_lucy_fidelity,tket_oqc_lucy_critical_depth,tket_rigetti_aspen_m2_time,tket_rigetti_aspen_m2_fidelity,tket_rigetti_aspen_m2_critical_depth,tket_ionq_harmony_time,tket_ionq_harmony_fidelity,tket_ionq_harmony_critical_depth,tket_ionq_aria1_time,tket_ionq_aria1_fidelity,tket_ionq_aria1_critical_depth,tket_quantinuum_h2_time,tket_quantinuum_h2_fidelity,tket_quantinuum_h2_critical_depth
wstate_indep_tket_18,wstate,18,-1,0.6589758893,0.4411764706,-1,0.004431444,0.5714285714,0.6732921600341797,0.2819028929,0.4411764706,0.09353423118591309,0.44356057,0.4411764706,-1,-1,-1,8.287310123443604,0.0009349828,0.4411764706,-1,-1,-1,8.030053853988647,0.6952681996,0.4411764706,7.984755039215088,0.7856665187,0.4411764706,1.085752010345459,0.1754532795,0.4411764706,1.0542206764221191,0.3997318223,0.4411764706,-1,-1,-1,1.0715107917785645,0.0001670415,0.4411764706,-1,-1,-1,1.0325071811676025,0.598404928,0.4411764706,1.1175169944763184,0.5125092622,0.4411764706
twolocalrandom_indep_qiskit_3,twolocalrandom,3,-1,0.9015972978,0.0,-1,0.0877906348,0.4074074074,0.06551408767700195,0.7629416391,0.0,0.05224490165710449,0.8014665616,0.0,0.27492475509643555,0.1594508636,0.0,0.48506903648376465,0.1756818081,0.0,0.04205894470214844,0.6678634357,0.0,0.19315314292907715,0.9095679677,0.0,0.3684720993041992,0.9464334802,0.0,0.2943401336669922,0.4050650143,0.0,0.1763918399810791,0.7023162072,0.0,0.18126797676086426,0.1148893894,0.0,0.2738640308380127,0.0556737218,0.0,0.1616520881652832,0.5152558328,0.0,0.17570996284484863,0.8742460029,0.0,0.21444201469421387,0.8376829166,0.0
dj_indep_tket_5,dj,5,-1,0.9465098265,0.0,-1,0.1867148445,0.435483871,0.043794870376586914,0.7449375753,0.0,0.028885841369628906,0.9006706526,0.0,0.051661014556884766,0.4010847869,0.0,0.06261706352233887,0.4258567073,0.0,0.7833757400512695,0.8311528619,0.0,3.51249098777771,0.9579386662,0.0,3.5310420989990234,0.9665434325,0.0,0.3681609630584717,0.8858114952,0.0,0.25435590744018555,0.8790565347,0.0,0.1453380584716797,0.3002036366,0.0,0.3126499652862549,0.1220265801,0.0,0.14527010917663574,0.7543517056,0.0,0.15972399711608887,0.9438627772,0.0,0.18378400802612305,0.9304861792,0.0
qpeexact_indep_qiskit_5,qpeexact,5,-1,0.7391018702,0.1923076923,-1,0.0110311489,0.4695121951,0.07967901229858398,0.4556896688,0.075,0.07548213005065918,0.7354712824,0.0555555556,0.38843321800231934,0.0241738955,0.0555555556,0.16118502616882324,3.56459e-05,0.1428571429,1.0450029373168945,0.3323684029,0.2,4.542765140533447,0.7708431403,0.2,4.552948951721191,0.8657576525,0.1923076923,0.646064281463623,0.5663216122,0.0,0.5860710144042969,0.7265450766,0.1176470588,0.46456074714660645,0.0171724196,0.1162790698,0.5158767700195312,0.0001198641,0.064516129,0.42479419708251953,0.309151718,0.1052631579,0.4425070285797119,0.7794055464,0.1052631579,1.0276060104370117,0.8252027673,0.1
realamprandom_indep_tket_4,realamprandom,4,-1,0.8161363629,0.2777777778,-1,0.4441619744,0.2898550725,0.08801794052124023,0.4269611715,0.0,0.07119894027709961,0.6568596526,0.0,0.536452054977417,0.0063994505,0.2083333333,0.15902400016784668,0.0145949606,0.0,0.16255807876586914,0.4627087621,0.2777777778,3.6664421558380127,0.8319607743,0.2777777778,3.678273916244507,0.9056488079,0.2777777778,0.5920219421386719,0.2534812171,0.0,0.43244004249572754,0.6261643669,0.0,0.46227097511291504,0.0040020039,0.2222222222,0.577218770980835,1.58732e-05,0.1944444444,0.41391706466674805,0.2812434682,0.2777777778,0.427109956741333,0.7710630055,0.2777777778,0.7539770603179932,0.7202058149,0.2777777778
su2random_indep_qiskit_4,su2random,4,-1,0.795504362,0.2777777778,-1,0.0288768128,0.4111111111,0.09167909622192383,0.4269611715,0.0,0.07726407051086426,0.6568596526,0.0,0.5383679866790771,0.0063312681,0.2083333333,0.1441638469696045,0.0142044464,0.0,0.1736440658569336,0.4390835511,0.2777777778,3.664821147918701,0.8253303191,0.2777777778,3.6943328380584717,0.9011296113,0.2777777778,0.5390939712524414,0.2526484057,0.0,0.42987608909606934,0.6241947626,0.0,0.4685859680175781,0.003859583,0.2222222222,1.0612449645996094,1.57299e-05,0.1944444444,0.4946877956390381,0.273252497,0.2777777778,0.5173580646514893,0.7676771055,0.2777777778,0.6244056224822998,0.7137498296,0.2777777778
ae_indep_qiskit_12,ae,12,-1,0.2273480913,0.5454545455,-1,2.4893e-06,0.6100323625,0.4648771286010742,0.0070174897,0.3625498008,0.4504368305206299,0.0251370412,0.3625498008,-1,-1,-1,1.3291552066802979,0.0,0.4099099099,-1,-1,-1,33.17424297332764,0.2553168929,0.5454545455,37.436797857284546,0.4987028805,0.5454545455,8.643768072128296,0.0060132306,0.4021164021,3.2272019386291504,0.0085968597,0.4173669468,-1,-1,-1,11.257247924804688,0.0,0.546031746,-1,-1,-1,2.5458498001098633,0.1852379683,0.5454545455,2.489504098892212,0.3095037965,0.5454545455
graphstate_indep_qiskit_26,graphstate,26,-1,0.5641898902,0.7692307692,-1,0.0,0.7296137339,0.20753216743469238,0.1273890252,0.652173913,0.11878395080566406,0.2916598446,0.7735849057,-1,-1,-1,0.7799630165100098,0.0001394088,0.6511627907,-1,-1,-1,-1,-1,-1,10.364970922470093,0.8779696511,0.7692307692,1.7356538772583008,0.0293793758,0.703125,2.792738914489746,0.2439839705,0.7162162162,-1,-1,-1,1.8210017681121826,3.557e-07,0.725,-1,-1,-1,-1,-1,-1,0.9883899688720703,0.5692930812,0.7692307692
wstate_indep_qiskit_30,wstate,30,-1,0.3410547274,0.4655172414,-1,0.0004552288,0.5070422535,9.842614889144897,0.1388537803,0.4655172414,-1,-1,-1,-1,-1,-1,12.942115068435669,4.1176e-06,0.4655172414,-1,-1,-1,-1,-1,-1,11.741281032562256,0.6640624375,0.4655172414,1.901766061782837,0.1663685665,0.4655172414,-1,-1,-1,-1,-1,-1,1.824077844619751,2.89e-08,0.4655172414,-1,-1,-1,-1,-1,-1,1.9364650249481201,0.3208624206,0.4655172414
pricingput_indep_tket_5,pricingput,5,-1,0.5360955876,0.0576923077,-1,0.0543883114,0.1092436975,0.20416927337646484,0.159069149,0.0416666667,0.23678302764892578,0.4124929716,0.0416666667,0.7689809799194336,0.0012850803,0.0416666667,0.3182032108306885,1.02256e-05,0.0428571429,1.0574250221252441,0.1037353541,0.06,4.34442925453186,0.5930116991,0.06,16.156450748443604,0.7669888696,0.06,1.0495719909667969,0.2889315992,0.0326086957,0.9229819774627686,0.3406272501,0.0326086957,1.300462007522583,0.0003221836,0.0697674419,1.1165368556976318,1.15e-08,0.1298701299,0.9258697032928467,0.0386269413,0.06,0.9399480819702148,0.5061243747,0.06,1.0665018558502197,0.5125046373,0.0540540541
