Benchmark,Qubits,Qiskit O3 Fid,TKET Fid,RL Fid,Qiskit O3 gate_ratio,TKET gate_ratio,RL gate_ratio,Qiskit O3 Crit Depth,TKET Crit Depth,RL Crit Depth,Qiskit O3 mix,TKET mix,RL mix,Qiskit O3 Time,TKET Time,RL Fid Time,RL gate_ratio Time,RL Crit Depth Time,RL Fid Crit Depth,RL Fid gate_ratio,RL Crit Depth Fid,RL Crit Depth gate_ratio,RL gate_ratio Fid,RL gate_ratio Crit Depth
qgan,12,0.0092,0.00879,0.04266,0.67536,0.86709,0.83333,0.48661,0.42857,0.64403,0.247905,0.21868,0.251295,9.32,7.01,5.62,7.86,5.49,0.49383,0.64422,1e-05,0.27246,0.0,0.48864
ae,8,0.13405,0.02473,0.04504,0.6,0.87226,0.87852,0.27869,0.32836,0.35714,0.20637,0.17654499999999998,0.27482,8.82,0.77,3.0,6.35,1.23,0.35714,0.87852,0.04504,0.87852,0.04504,0.35714
vqe,13,0.43306,0.56518,0.58343,0.875,0.92105,0.90293,0.41667,0.41667,0.61429,0.424865,0.490925,0.42552999999999996,0.72,0.27,4.18,2.43,9.3,0.37037,0.86154,0.01766,0.64377,0.00012,0.31746
graphstate,12,0.1866,0.38907,0.57113,0.57143,0.90041,0.84615,0.15152,0.58333,0.6776,0.16906,0.4862,0.31728,0.42,0.38,8.76,10.81,2.77,0.35556,0.70588,0.01135,0.39604,0.00266,0.5
pricingcall,5,0.32051,0.30803,0.05909,0.66087,0.88064,0.9535,0.03846,0.03659,0.40217,0.179485,0.17231000000000002,0.241385,1.2,0.37,2.8,13.73,4.6,0.05769,0.87286,0.04865,0.65217,0.00122,0.05495
qftentangled,6,0.35542,0.28307,0.3677,0.57831,0.86986,0.84561,0.27143,0.31579,0.47727,0.313425,0.29943,0.400905,0.48,0.41,9.23,8.53,0.56,0.43564,0.38037,0.10715,0.84561,0.10715,0.47727
qftentangled,11,0.00169,0.00014,0.04903,0.514,0.86648,0.84571,0.48136,0.52646,0.68148,0.24152500000000002,0.26330000000000003,0.341265,2.13,10.88,7.71,1.41,9.5,0.67576,0.36782,0.00105,0.84571,0.00105,0.68148
qgan,13,0.0073,0.00174,0.02396,0.67401,0.86736,0.82812,0.4306,0.70915,0.71082,0.21894999999999998,0.35544499999999996,0.31178500000000003,1.48,5.37,5.42,3.67,12.11,0.53608,0.65233,0.0,0.84298,0.0,0.55303
ghz,12,0.57438,0.71796,0.67477,0.57692,0.92414,0.87097,0.0,0.0,0.44595,0.28719,0.35898,0.347555,0.47,0.12,5.4,2.08,10.45,0.0,0.51724,0.09519,0.16854,0.03543,0.3
su2random,3,0.72011,0.39912,0.83117,0.77011,0.89756,0.875,0.0,0.0,0.39286,0.360055,0.19956,0.40103,0.72,0.13,3.99,1.42,3.56,0.0,0.83607,0.08481,0.42857,0.61093,0.0
qftentangled,6,0.35512,0.28307,0.3314,0.5858,0.86986,0.84561,0.27143,0.31579,0.47727,0.31327499999999997,0.29943,0.26947,1.0,0.44,4.16,1.45,1.14,0.27723,0.41618,0.10715,0.84561,0.10715,0.47727
qpeexact,3,0.88853,0.90156,0.68882,0.85714,0.88889,0.86538,0.0,0.0,0.0,0.444265,0.45078,0.455985,0.26,0.06,1.71,12.29,2.76,0.0,0.86538,0.93278,0.93939,0.68882,0.0
realamprandom,12,1e-05,0.0,0.00094,0.586,0.86617,0.86217,0.54023,0.61356,0.7543,0.27011999999999997,0.30678,0.349735,4.09,8.22,7.06,6.24,3.1,0.61013,0.20523,0.0,0.17108,0.0,0.63425
groundstate,4,0.63245,0.40642,0.74634,0.75207,0.88202,0.91892,0.16667,0.0,0.25,0.39955999999999997,0.20321,0.41995499999999997,0.27,0.16,2.01,6.97,1.16,0.0,0.82353,0.45236,0.91892,0.45236,0.25
ghz,15,0.52864,0.47762,0.55577,0.5625,0.92391,0.87931,0.0,0.0,0.45395,0.26432,0.23881,0.36868,0.92,0.18,3.04,1.02,3.1,0.25,0.36,0.01829,0.10588,0.06081,0.0
qft,4,0.66815,0.54748,0.71153,0.62295,0.87383,0.85,0.17391,0.0,0.27778,0.42103,0.27374,0.45432,0.71,0.17,8.28,1.18,3.3,0.0,0.50909,0.39747,0.85,0.39747,0.27778
wstate,7,0.61418,0.76443,0.66616,0.78571,0.91045,0.88462,0.33333,0.33333,0.33333,0.473755,0.54888,0.555035,0.23,0.15,8.56,1.25,3.82,0.33333,0.89655,0.57179,0.85714,0.50764,0.33333
graphstate,3,0.88093,0.73034,0.8653,0.75,0.89831,0.91667,0.0,0.0,0.28571,0.440465,0.36517,0.41113,0.3,0.09,7.79,0.58,4.84,0.0,0.81818,0.19447,0.46154,0.82226,0.0
ghz,5,0.87527,0.86478,0.81391,0.66667,0.92593,0.92857,0.0,0.0,0.0,0.437635,0.43239,0.42952,0.06,0.19,3.72,0.53,1.78,0.0,0.85185,0.7998,0.92308,0.41759,0.0
dj,10,0.52393,0.37932,0.56327,0.70526,0.87692,0.91262,0.10714,0.0,0.39286,0.315535,0.18966,0.43137000000000003,0.43,0.33,2.28,0.87,1.13,0.0,0.91262,0.33693,0.44,0.56327,0.0
qft,7,0.24695,0.16468,0.27589,0.59756,0.86824,0.84956,0.35354,0.35897,0.5098,0.300245,0.261825,0.29728,2.36,0.5,4.9,0.89,0.69,0.27778,0.42246,0.07342,0.84956,0.07342,0.5098
realamprandom,8,0.02217,0.00078,0.02431,0.59162,0.86974,0.81739,0.37607,0.48333,0.65476,0.19912000000000002,0.242055,0.336145,1.73,1.07,4.66,0.72,0.94,0.4214,0.31264,0.01753,0.81739,0.01753,0.65476
qpeexact,9,0.11922,0.00649,1e-05,0.59091,0.86981,0.85252,0.30864,0.34314,0.47561,0.21393,0.174815,0.22514499999999998,2.12,0.9,31.8,1.97,1.12,0.28623,0.61931,0.01459,0.85252,0.01459,0.47561
dj,9,0.59618,0.42953,0.59497,0.6506,0.87634,0.62069,0.17241,0.0,0.41509,0.38429500000000005,0.214765,0.42979500000000004,0.31,0.31,30.31,3.95,9.26,0.0,0.91579,0.44426,0.61871,0.39088,0.59091
qpeinexact,14,0.00023,1e-05,0.0,0.53653,0.86541,0.86925,0.43243,0.51969,0.53719,0.21633,0.25984999999999997,0.30823,3.42,18.45,31.0,5.68,5.82,0.60758,0.50304,0.0,0.86444,0.0,0.50799
portfoliovqe,4,0.50175,0.24962,0.64747,0.73626,0.87919,0.9011,0.125,0.0,0.27778,0.313375,0.12481,0.36824500000000004,0.53,0.22,4.92,1.54,3.75,0.0,0.81443,0.33787,0.9011,0.33787,0.27778
wstate,14,0.35069,0.55115,0.52598,0.78151,0.90972,0.88341,0.42308,0.42308,0.60403,0.38688500000000003,0.487115,0.43540500000000004,0.65,0.27,4.75,3.84,8.94,0.34483,0.86385,0.01618,0.5,0.0193,0.42308
qaoa,12,0.15933,0.19305,0.17361,0.80488,0.88889,0.88235,0.70833,0.70833,0.63889,0.43383,0.45069000000000004,0.395665,0.45,0.33,4.46,2.77,4.51,0.53922,0.66667,0.0,0.88235,0.0,0.61111
pricingput,9,0.00124,0.00064,0.0003,0.63118,0.8753,0.86655,0.17201,0.30303,0.33395,0.086625,0.151835,0.13492500000000002,3.22,1.4,2.11,1.59,4.97,0.17763,0.86655,0.0,0.48528,0.0003,0.17763
graphstate,9,0.37982,0.5218,0.55594,0.69512,0.9011,0.91667,0.32,0.5,0.55556,0.34991,0.5109,0.55575,0.82,0.29,1.5,1.31,1.79,0.55556,0.91667,0.55594,0.91667,0.55594,0.55556
su2random,8,0.02213,0.00078,0.05362,0.60272,0.87207,0.85714,0.37607,0.48333,0.65476,0.1991,0.242055,0.33365,3.01,1.05,5.61,0.91,2.47,0.35474,0.29374,0.01254,0.85714,0.01254,0.65476
dj,3,0.91902,0.93979,0.87999,0.88235,0.90909,0.93506,0.0,0.0,0.0,0.45951,0.469895,0.439995,0.11,0.04,3.85,5.13,5.14,0.0,0.91304,0.91759,0.96296,0.44816,0.0
realamprandom,10,0.00457,1e-05,0.01103,0.65312,0.86817,0.81379,0.52571,0.60264,0.72593,0.26514,0.30132499999999995,0.363745,5.05,6.64,31.86,0.7,2.84,0.53668,0.24709,0.00156,0.81379,0.00156,0.72593
qpeinexact,13,2e-05,1e-05,0.00351,0.44496,0.86611,0.86571,0.45929,0.49806,0.63563,0.229655,0.249035,0.31959,2.14,2.25,25.98,5.16,5.92,0.48413,0.70884,0.0,0.26829,0.0,0.51401
portfoliovqe,3,0.71932,0.40149,0.76908,0.79798,0.87861,0.90625,0.0,0.0,0.38824,0.35966,0.200745,0.39897,0.92,0.12,5.03,8.72,5.82,0.0,0.84211,0.1122,0.52247,0.5737,0.0
ae,4,0.7294,0.63833,0.67868,0.75385,0.89535,0.90244,0.0,0.0,0.33333,0.3647,0.319165,0.43013,0.42,0.14,7.42,3.54,16.23,0.13333,0.66667,0.25864,0.75329,0.48298,0.0
vqe,6,0.76406,0.78609,0.79889,0.88636,0.92308,0.9537,0.3,0.3,0.3,0.53203,0.543045,0.445435,0.32,0.14,3.67,2.37,0.69,0.3,0.88636,0.59087,0.90566,0.20522,0.3
twolocalrandom,2,0.92513,0.916,0.93633,0.85714,0.89286,0.96154,0.0,0.0,0.0,0.462565,0.458,0.468165,0.56,0.16,2.9,1.88,1.33,0.0,0.93333,0.93633,0.91892,0.49853,0.0
dj,13,0.46488,0.33119,0.3309,0.77778,0.87594,0.88531,0.0,0.0,0.45902,0.23244,0.165595,0.39613,0.45,0.41,3.15,4.19,3.85,0.61538,0.55682,0.00746,0.34875,0.00055,0.21053
qft,10,0.07557,0.00072,0.04204,0.5109,0.86621,0.84783,0.36139,0.41581,0.64762,0.21848,0.208265,0.32616999999999996,2.75,6.3,3.11,2.16,9.67,0.45977,0.3756,0.00472,0.84783,0.00472,0.64762
